"title","year","length","budget","rating","votes","mpaa","genre"
"100 Mile Rule",2002,98,1100000,5.6,181,"R","Comedy"
"24 Hour Woman, The",1999,93,2500000,5.6,149,"R","Comedy"
"Air Marshal",2003,90,500000,3,81,"R","Action"
"Awfully Big Adventure, An",1995,112,4000000,5.8,608,"R","Drama"
"Ballad of Jack and Rose, The",2005,112,1500000,6.2,269,"R","Drama"
"Bananas",1971,82,2000000,7.1,4252,"PG-13","Comedy"
"Basket, The",1999,105,3000000,6.3,200,"PG","Drama"
"Better Luck Tomorrow",2002,98,250000,7.3,2697,"R","Drama"
"Beyond Re-Animator",2003,96,3000000,6.1,908,"R","Comedy"
"Beyond the Mat",1999,108,500000,7.3,2243,"R","Documentary"
"Big Tease, The",1999,86,4000000,6.1,670,"R","Comedy"
"Blue Hill Avenue",2001,120,1200000,6.6,85,"R","Drama"
"Bound",1996,109,4500000,7.5,11911,"R","Romance"
"Boys Don't Cry",1999,118,2000000,7.6,14456,"R","Drama"
"Breed, The",2001,91,4000000,4.7,582,"R","Action"
"Brigham City",2001,119,1000000,7.1,405,"PG-13","Drama"
"Broken Vessels",1998,90,600000,6.1,223,"R","Drama"
"Brooklyn Bound",2004,90,70000,4.2,30,"R","Drama"
"Bubba Ho-tep",2002,92,1000000,7.5,7142,"R","Comedy"
"Cafe Society",1995,104,3500000,5.7,137,"R","Drama"
"Charlotte Sometimes",2002,85,80000,4.6,555,"R","Drama"
"Cidade de Deus",2002,135,3300000,8.7,25964,"R","Drama"
"Civil Brand",2002,95,500000,4.1,102,"R","Drama"
"Claustrophobia",2003,79,114000,4.2,90,"R","Comedy"
"Cockettes, The",2002,100,300000,6.6,177,"R","Documentary"
"Comunidad, La",2000,110,2000000,7.2,1270,"R","Comedy"
"Confession, The",1999,114,4000000,5.8,519,"R","Drama"
"Cotton Mary",1999,124,3500000,5.3,164,"R","Drama"
"Curdled",1996,88,2309723,5.5,959,"R","Comedy"
"Dancing in September",2000,102,850000,6.4,166,"R","Drama"
"Day of Defense",2003,102,500000,3,8,"PG","Drama"
"Dead Babies",2000,100,1000000,4.3,172,"R","Comedy"
"Dead Hate the Living!, The",2000,90,150000,4.3,496,"R","Comedy"
"Deep End, The",2001,101,3000000,6.8,3524,"R","Drama"
"Demolitionist, The",1995,100,1000000,4.1,238,"R","Action"
"Dill Scallion",1999,91,500000,5.1,136,"PG-13","Comedy"
"Dom durakov",2002,104,2500000,6.8,382,"R","Drama"
"Dominion",1995,95,1300000,5,85,"R","Drama"
"Donnie Darko",2001,133,4500000,8.3,51961,"R","Drama"
"Down Time",2001,90,20000,3.5,55,"R","Drama"
"Down and Out with the Dolls",2001,88,1200000,6,37,"R","Comedy"
"Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb",1964,93,1800000,8.7,63471,"PG","Comedy"
"Elephant",2003,81,3000000,7.3,9203,"R","Drama"
"Elvira's Haunted Hills",2001,90,1500000,5.2,307,"PG-13","Comedy"
"Emmett's Mark",2002,104,4500000,6.2,427,"R","Drama"
"Enter the Dragon",1973,99,850000,7.4,8078,"R","Action"
"Era of Vampire, The",2002,90,1000000,4.2,329,"R","Action"
"Escanaba in da Moonlight",2001,91,1000000,5.5,373,"PG-13","Comedy"
"Espinazo del diablo, El",2001,108,4500000,7.4,3474,"R","Drama"
"EvenHand",2002,92,500000,7.3,169,"R","Drama"
"Everything Put Together",2000,87,500000,7.1,151,"R","Drama"
"Evil Alien Conquerors",2002,89,500000,3.8,111,"PG-13","Comedy"
"Falls, The",2003,85,75000,5.7,29,"R","Drama"
"Female Trouble",1974,97,25000,7.1,868,"NC-17","Comedy"
"Festen",1998,105,1300000,8.2,11983,"R","Drama"
"Final",2001,111,80000,5.2,330,"R","Drama"
"Freeway",1996,102,3000000,6.5,4961,"R","Drama"
"Freeway II: Confessions of a Trickbaby",1999,90,2000000,4.6,666,"R","Drama"
"Freeze Frame",2004,99,2000000,5.8,189,"R","Drama"
"Frostbite",2005,83,2400000,2.8,201,"R","Comedy"
"Full Clip",2004,95,500000,4.1,72,"R","Action"
"Full Monty, The",1997,91,3500000,7.2,22115,"R","Comedy"
"Gerry",2002,105,3500000,6,1944,"R","Drama"
"Get on the Bus",1996,120,2400000,6.6,1142,"R","Drama"
"Go Fish",1994,84,15000,5.8,621,"R","Romance"
"God's Army",2000,108,300000,6.4,354,"PG","Drama"
"Gods and Monsters",1998,105,3500000,7.6,9020,"R","Drama"
"Going Greek",2001,90,198000,4.8,261,"R","Comedy"
