"year","Action","Comedy","Drama","Documentary","Romance","Short","avg_rating"
1893,0,0,0,0,0,1,7
1894,0,0,0,5,0,9,4.88888888888889
1895,0,0,0,2,0,3,5.5
1896,0,1,1,7,0,12,5.26923076923077
1897,0,2,0,6,0,7,4.67777777777778
1898,0,2,1,1,0,5,5.04
1899,0,1,2,4,0,8,4.27777777777778
1900,0,5,2,5,0,16,4.73125
1901,1,8,5,9,1,27,4.68214285714286
1902,0,2,1,2,0,9,4.9
1903,3,8,2,8,1,37,4.80810810810811
1904,0,10,3,4,0,42,4.22380952380952
1905,0,6,4,2,0,17,5.04705882352941
1906,0,2,5,4,0,15,5.67647058823529
1907,0,6,1,0,0,12,5.38333333333333
1908,3,8,8,1,0,24,4.9125
1909,0,7,14,0,1,29,5.12666666666667
1910,0,2,14,2,3,26,5.21153846153846
1911,1,2,14,1,1,21,5.88181818181818
1912,0,4,22,0,5,30,6.4
1913,2,11,13,1,0,22,6.665625
1914,1,38,13,1,0,38,6.08888888888889
1915,2,22,16,1,0,35,6.2462962962963
1916,1,27,13,0,2,29,6.63265306122449
1917,0,18,14,0,2,15,6.75135135135135
1918,1,23,14,1,2,22,6.3780487804878
1919,2,29,17,2,5,20,7.075
1920,0,20,14,0,3,13,6.77209302325581
1921,1,23,23,0,6,17,6.92641509433962
1922,0,16,20,1,8,14,6.70576923076923
1923,1,19,20,2,11,17,6.81875
1924,3,24,15,0,7,18,6.928
1925,0,36,27,2,10,21,6.8620253164557
1926,5,40,37,2,17,26,6.61702127659574
1927,3,32,41,2,21,20,7.0855421686747
1928,5,45,51,4,9,33,7.17064220183486
1929,0,60,74,11,14,54,6.53152173913043
1930,4,125,106,7,53,74,5.93125
1931,5,146,138,5,45,91,6.17456647398844
1932,5,143,157,6,33,116,6.11456310679612
1933,6,159,167,7,66,107,6.23776722090261
1934,8,192,164,7,61,123,6.06099585062241
1935,17,192,140,13,62,122,6.17543103448276
1936,9,212,120,4,47,143,6.2952479338843
1937,14,209,153,10,62,127,6.29400826446281
1938,8,217,133,11,53,126,6.29179265658747
1939,17,183,179,10,35,127,6.3504132231405
1940,15,213,156,16,45,134,6.27216699801193
1941,16,242,139,16,57,141,6.34107485604607
1942,24,203,148,19,40,145,6.34437869822485
1943,18,165,129,26,26,123,6.51412556053812
1944,11,157,118,14,32,101,6.3518779342723
1945,15,126,122,22,28,84,6.36613333333333
1946,10,144,135,12,32,101,6.41527777777778
1947,14,137,162,7,41,85,6.44851936218679
1948,21,172,179,12,35,107,6.47364016736402
1949,18,179,187,9,43,100,6.4059670781893
1950,14,166,167,11,27,99,6.3081466395112
1951,17,187,191,13,39,105,6.24305019305019
1952,18,178,194,12,31,90,6.29356725146199
1953,21,178,183,13,44,92,6.13320964749536
1954,23,168,177,12,47,96,6.00878243512974
1955,13,154,220,15,49,93,6.20670498084291
1956,13,143,183,17,38,83,5.98048289738431
1957,13,142,236,13,44,68,5.89820143884892
1958,16,141,219,10,42,53,5.90151515151515
1959,24,143,186,13,42,50,6.09050505050505
1960,19,126,224,13,35,38,6.08054393305439
1961,28,135,186,12,32,49,5.91051502145923
1962,25,163,210,11,30,53,5.94561403508772
1963,30,164,199,19,32,43,6.03359840954274
1964,39,160,189,21,34,46,5.94023210831721
1965,29,175,158,29,20,85,5.86396226415094
1966,32,176,168,20,20,86,5.9412780656304
1967,40,193,200,38,39,79,5.84579124579125
1968,45,166,223,37,29,79,5.71536098310292
1969,46,164,266,22,31,44,5.64144
1970,31,156,252,32,28,30,5.68924914675768
1971,55,155,260,40,25,42,5.66517027863777
1972,59,146,238,31,19,27,5.58869701726845
1973,68,150,258,24,22,27,5.64069400630915
1974,85,130,258,27,32,25,5.69504
1975,63,148,244,36,32,44,5.62907915993538
1976,82,148,250,38,26,36,5.58691729323308
1977,79,152,246,24,27,26,5.73257698541329
1978,64,151,231,39,30,35,5.59885057471264
1979,65,160,248,27,38,32,5.54572784810127
1980,72,184,230,33,41,38,5.62481644640235
1981,62,178,243,31,43,22,5.68063540090772
1982,83,172,255,40,34,39,5.7732946298984
1983,78,166,265,31,41,33,5.66719197707736
1984,83,190,278,45,57,38,5.73457943925234
1985,108,213,256,45,59,52,5.6645202020202
1986,131,204,289,31,44,40,5.5719696969697
1987,109,252,339,49,55,56,5.55235109717868
1988,94,249,332,42,67,50,5.50042372881356
1989,132,239,324,37,63,63,5.54046610169492
1990,134,232,321,41,65,50,5.43515016685206
1991,97,250,330,46,76,68,5.7490990990991
1992,120,240,347,74,77,75,5.64620253164557
1993,137,254,381,60,84,95,5.59320866141732
1994,147,309,435,94,97,141,5.49207673060884
1995,161,281,493,84,116,165,5.73942307692308
1996,159,352,493,98,127,194,5.74712230215827
1997,162,404,555,133,161,217,5.39355867346939
1998,144,451,634,133,160,279,5.85818181818182
1999,160,562,694,156,184,408,5.63710430721328
2000,154,561,793,175,207,449,5.934423828125
2001,169,582,837,196,211,468,6.1010372465818
2002,176,591,929,249,245,533,6.28431734317343
2003,180,642,899,261,215,555,6.34796107506951
2004,147,597,805,258,169,480,6.66200514138817
2005,43,123,137,35,37,54,6.51260744985673
