"year","variable","value"
1903,"Action",1
1906,"Action",0
1908,"Action",1
1912,"Action",0
1913,"Action",0
1914,"Action",0
1915,"Action",0
1916,"Action",1
1917,"Action",0
1918,"Action",0
1919,"Action",0
1920,"Action",0
1921,"Action",0
1922,"Action",0
1923,"Action",0
1924,"Action",1
1925,"Action",0
1926,"Action",0
1927,"Action",1
1928,"Action",2
1929,"Action",0
1930,"Action",1
1931,"Action",0
1932,"Action",0
1933,"Action",1
1934,"Action",1
1935,"Action",2
1936,"Action",1
1937,"Action",3
1938,"Action",2
1939,"Action",4
1940,"Action",0
1941,"Action",1
1942,"Action",2
1943,"Action",0
1944,"Action",1
1945,"Action",0
1946,"Action",0
1947,"Action",0
1948,"Action",3
1949,"Action",1
1950,"Action",0
1951,"Action",0
1952,"Action",3
1953,"Action",2
1954,"Action",3
1955,"Action",0
1956,"Action",1
1957,"Action",1
1958,"Action",3
1959,"Action",3
1960,"Action",3
1961,"Action",2
1962,"Action",3
1963,"Action",7
1964,"Action",3
1965,"Action",5
1966,"Action",3
1967,"Action",4
1968,"Action",5
1969,"Action",5
1970,"Action",6
1971,"Action",8
1972,"Action",7
1973,"Action",7
1974,"Action",9
1975,"Action",5
1976,"Action",4
1977,"Action",7
1978,"Action",6
1979,"Action",5
1980,"Action",6
1981,"Action",12
1982,"Action",9
1983,"Action",5
1984,"Action",12
1985,"Action",17
1986,"Action",13
1987,"Action",13
1988,"Action",10
1989,"Action",18
1990,"Action",16
1991,"Action",12
1992,"Action",11
1993,"Action",19
1994,"Action",20
1995,"Action",35
1996,"Action",32
1997,"Action",45
1998,"Action",46
1999,"Action",30
2000,"Action",40
2001,"Action",47
2002,"Action",63
2003,"Action",67
2004,"Action",65
2005,"Action",25
1903,"Comedy",0
1906,"Comedy",0
1908,"Comedy",0
1912,"Comedy",0
1913,"Comedy",0
1914,"Comedy",1
1915,"Comedy",0
1916,"Comedy",0
1917,"Comedy",0
1918,"Comedy",1
1919,"Comedy",1
1920,"Comedy",1
1921,"Comedy",1
1922,"Comedy",1
1923,"Comedy",0
1924,"Comedy",2
1925,"Comedy",2
1926,"Comedy",1
1927,"Comedy",2
1928,"Comedy",5
1929,"Comedy",7
1930,"Comedy",4
1931,"Comedy",3
1932,"Comedy",4
1933,"Comedy",21
1934,"Comedy",7
1935,"Comedy",7
1936,"Comedy",8
1937,"Comedy",12
1938,"Comedy",9
1939,"Comedy",4
1940,"Comedy",3
1941,"Comedy",8
1942,"Comedy",6
1943,"Comedy",4
1944,"Comedy",4
1945,"Comedy",2
1946,"Comedy",2
1947,"Comedy",5
1948,"Comedy",6
1949,"Comedy",4
1950,"Comedy",2
1951,"Comedy",4
1952,"Comedy",7
1953,"Comedy",4
1954,"Comedy",2
1955,"Comedy",9
1956,"Comedy",2
1957,"Comedy",5
1958,"Comedy",2
1959,"Comedy",4
1960,"Comedy",7
1961,"Comedy",8
1962,"Comedy",7
1963,"Comedy",10
1964,"Comedy",7
1965,"Comedy",11
1966,"Comedy",11
1967,"Comedy",10
1968,"Comedy",12
1969,"Comedy",11
1970,"Comedy",9
1971,"Comedy",7
1972,"Comedy",7
1973,"Comedy",6
1974,"Comedy",10
1975,"Comedy",8
1976,"Comedy",10
1977,"Comedy",11
1978,"Comedy",6
1979,"Comedy",12
1980,"Comedy",10
1981,"Comedy",15
1982,"Comedy",9
1983,"Comedy",13
1984,"Comedy",16
1985,"Comedy",26
1986,"Comedy",16
1987,"Comedy",22
1988,"Comedy",30
1989,"Comedy",23
1990,"Comedy",22
1991,"Comedy",21
1992,"Comedy",16
1993,"Comedy",25
1994,"Comedy",41
1995,"Comedy",44
1996,"Comedy",64
1997,"Comedy",61
1998,"Comedy",93
1999,"Comedy",98
2000,"Comedy",109
2001,"Comedy",130
2002,"Comedy",127
2003,"Comedy",149
2004,"Comedy",167
2005,"Comedy",36
1903,"Drama",0
1906,"Drama",0
1908,"Drama",0
1912,"Drama",1
1913,"Drama",2
1914,"Drama",3
1915,"Drama",2
1916,"Drama",1
1917,"Drama",3
1918,"Drama",2
1919,"Drama",3
1920,"Drama",2
1921,"Drama",2
1922,"Drama",3
1923,"Drama",6
1924,"Drama",1
1925,"Drama",7
1926,"Drama",7
1927,"Drama",4
1928,"Drama",10
1929,"Drama",6
1930,"Drama",6
1931,"Drama",12
1932,"Drama",16
1933,"Drama",35
1934,"Drama",8
1935,"Drama",12
1936,"Drama",7
1937,"Drama",16
1938,"Drama",5
1939,"Drama",14
1940,"Drama",8
1941,"Drama",11
1942,"Drama",5
1943,"Drama",6
1944,"Drama",8
1945,"Drama",14
1946,"Drama",8
1947,"Drama",11
1948,"Drama",8
1949,"Drama",5
1950,"Drama",6
1951,"Drama",11
1952,"Drama",6
1953,"Drama",16
1954,"Drama",13
1955,"Drama",11
1956,"Drama",12
1957,"Drama",18
1958,"Drama",8
1959,"Drama",12
1960,"Drama",14
1961,"Drama",16
1962,"Drama",18
1963,"Drama",16
1964,"Drama",16
1965,"Drama",14
1966,"Drama",19
1967,"Drama",21
1968,"Drama",24
1969,"Drama",17
1970,"Drama",27
1971,"Drama",23
1972,"Drama",16
1973,"Drama",17
1974,"Drama",17
1975,"Drama",12
1976,"Drama",16
1977,"Drama",14
1978,"Drama",15
1979,"Drama",10
1980,"Drama",18
1981,"Drama",13
1982,"Drama",12
1983,"Drama",18
1984,"Drama",14
1985,"Drama",20
1986,"Drama",26
1987,"Drama",22
1988,"Drama",27
1989,"Drama",23
1990,"Drama",21
1991,"Drama",29
