"State","Illiteracy","LifeExp","Murder","hsGrad","Frost","Region"
"Alabama",2.1,69.05,15.1,41.3,20,"South"
"Alaska",1.5,69.31,11.3,66.7,152,"West"
"Arizona",1.8,70.55,7.8,58.1,15,"West"
"Arkansas",1.9,70.66,10.1,39.9,65,"South"
"California",1.1,71.71,10.3,62.6,20,"West"
"Colorado",0.7,72.06,6.8,63.9,166,"West"
"Connecticut",1.1,72.48,3.1,56,139,"Northeast"
"Delaware",0.9,70.06,6.2,54.6,103,"South"
"Florida",1.3,70.66,10.7,52.6,11,"South"
"Georgia",2,68.54,13.9,40.6,60,"South"
"Hawaii",1.9,73.6,6.2,61.9,0,"West"
"Idaho",0.6,71.87,5.3,59.5,126,"West"
"Illinois",0.9,70.14,10.3,52.6,127,"North Central"
"Indiana",0.7,70.88,7.1,52.9,122,"North Central"
"Iowa",0.5,72.56,2.3,59,140,"North Central"
"Kansas",0.6,72.58,4.5,59.9,114,"North Central"
"Kentucky",1.6,70.1,10.6,38.5,95,"South"
"Louisiana",2.8,68.76,13.2,42.2,12,"South"
"Maine",0.7,70.39,2.7,54.7,161,"Northeast"
"Maryland",0.9,70.22,8.5,52.3,101,"South"
"Massachusetts",1.1,71.83,3.3,58.5,103,"Northeast"
"Michigan",0.9,70.63,11.1,52.8,125,"North Central"
"Minnesota",0.6,72.96,2.3,57.6,160,"North Central"
"Mississippi",2.4,68.09,12.5,41,50,"South"
"Missouri",0.8,70.69,9.3,48.8,108,"North Central"
"Montana",0.6,70.56,5,59.2,155,"West"
"Nebraska",0.6,72.6,2.9,59.3,139,"North Central"
"Nevada",0.5,69.03,11.5,65.2,188,"West"
"New Hampshire",0.7,71.23,3.3,57.6,174,"Northeast"
"New Jersey",1.1,70.93,5.2,52.5,115,"Northeast"
"New Mexico",2.2,70.32,9.7,55.2,120,"West"
"New York",1.4,70.55,10.9,52.7,82,"Northeast"
"North Carolina",1.8,69.21,11.1,38.5,80,"South"
"North Dakota",0.8,72.78,1.4,50.3,186,"North Central"
"Ohio",0.8,70.82,7.4,53.2,124,"North Central"
"Oklahoma",1.1,71.42,6.4,51.6,82,"South"
"Oregon",0.6,72.13,4.2,60,44,"West"
"Pennsylvania",1,70.43,6.1,50.2,126,"Northeast"
"Rhode Island",1.3,71.9,2.4,46.4,127,"Northeast"
"South Carolina",2.3,67.96,11.6,37.8,65,"South"
"South Dakota",0.5,72.08,1.7,53.3,172,"North Central"
"Tennessee",1.7,70.11,11,41.8,70,"South"
"Texas",2.2,70.9,12.2,47.4,35,"South"
"Utah",0.6,72.9,4.5,67.3,137,"West"
"Vermont",0.6,71.64,5.5,57.1,168,"Northeast"
"Virginia",1.4,70.08,9.5,47.8,85,"South"
"Washington",0.6,71.72,4.3,63.5,32,"West"
"West Virginia",1.4,69.48,6.7,41.6,100,"South"
"Wisconsin",0.7,72.48,3,54.5,149,"North Central"
"Wyoming",0.6,70.29,6.9,62.9,173,"West"
