"State","variable","value"
"Alabama","LifeExp","69.05"
"Alabama","Murder","15.1"
"Alabama","hsGrad","41.3"
"Alabama","Frost","20"
"Alabama","Region","South"
"Alaska","LifeExp","69.31"
"Alaska","Murder","11.3"
"Alaska","hsGrad","66.7"
"Alaska","Frost","152"
"Alaska","Region","West"
"Arizona","LifeExp","70.55"
"Arizona","Murder","7.8"
"Arizona","hsGrad","58.1"
"Arizona","Frost","15"
"Arizona","Region","West"
"Arkansas","LifeExp","70.66"
"Arkansas","Murder","10.1"
"Arkansas","hsGrad","39.9"
"Arkansas","Frost","65"
"Arkansas","Region","South"
"California","LifeExp","71.71"
"California","Murder","10.3"
"California","hsGrad","62.6"
"California","Frost","20"
"California","Region","West"
"Colorado","LifeExp","72.06"
"Colorado","Murder","6.8"
"Colorado","hsGrad","63.9"
"Colorado","Frost","166"
"Colorado","Region","West"
"Connecticut","LifeExp","72.48"
"Connecticut","Murder","3.1"
"Connecticut","hsGrad","56"
"Connecticut","Frost","139"
"Connecticut","Region","Northeast"
"Delaware","LifeExp","70.06"
"Delaware","Murder","6.2"
"Delaware","hsGrad","54.6"
"Delaware","Frost","103"
"Delaware","Region","South"
"Florida","LifeExp","70.66"
"Florida","Murder","10.7"
"Florida","hsGrad","52.6"
"Florida","Frost","11"
"Florida","Region","South"
"Georgia","LifeExp","68.54"
"Georgia","Murder","13.9"
"Georgia","hsGrad","40.6"
"Georgia","Frost","60"
"Georgia","Region","South"
"Hawaii","LifeExp","73.6"
"Hawaii","Murder","6.2"
"Hawaii","hsGrad","61.9"
"Hawaii","Frost","0"
"Hawaii","Region","West"
"Idaho","LifeExp","71.87"
"Idaho","Murder","5.3"
"Idaho","hsGrad","59.5"
"Idaho","Frost","126"
"Idaho","Region","West"
"Illinois","LifeExp","70.14"
"Illinois","Murder","10.3"
"Illinois","hsGrad","52.6"
"Illinois","Frost","127"
"Illinois","Region","North Central"
"Indiana","LifeExp","70.88"
"Indiana","Murder","7.1"
"Indiana","hsGrad","52.9"
"Indiana","Frost","122"
"Indiana","Region","North Central"
"Iowa","LifeExp","72.56"
"Iowa","Murder","2.3"
"Iowa","hsGrad","59"
"Iowa","Frost","140"
"Iowa","Region","North Central"
"Kansas","LifeExp","72.58"
"Kansas","Murder","4.5"
"Kansas","hsGrad","59.9"
"Kansas","Frost","114"
"Kansas","Region","North Central"
"Kentucky","LifeExp","70.1"
"Kentucky","Murder","10.6"
"Kentucky","hsGrad","38.5"
"Kentucky","Frost","95"
"Kentucky","Region","South"
"Louisiana","LifeExp","68.76"
"Louisiana","Murder","13.2"
"Louisiana","hsGrad","42.2"
"Louisiana","Frost","12"
"Louisiana","Region","South"
"Maine","LifeExp","70.39"
"Maine","Murder","2.7"
