"State","variable","value"
"Alabama","Illiteracy","2.1"
"Alabama","Murder","15.1"
"Alabama","hsGrad","41.3"
"Alabama","Region","South"
"Alaska","Illiteracy","1.5"
"Alaska","Murder","11.3"
"Alaska","hsGrad","66.7"
"Alaska","Region","West"
"Arizona","Illiteracy","1.8"
"Arizona","Murder","7.8"
"Arizona","hsGrad","58.1"
"Arizona","Region","West"
"Arkansas","Illiteracy","1.9"
"Arkansas","Murder","10.1"
"Arkansas","hsGrad","39.9"
"Arkansas","Region","South"
"California","Illiteracy","1.1"
"California","Murder","10.3"
"California","hsGrad","62.6"
"California","Region","West"
"Colorado","Illiteracy","0.7"
"Colorado","Murder","6.8"
"Colorado","hsGrad","63.9"
"Colorado","Region","West"
"Connecticut","Illiteracy","1.1"
"Connecticut","Murder","3.1"
"Connecticut","hsGrad","56"
"Connecticut","Region","Northeast"
"Delaware","Illiteracy","0.9"
"Delaware","Murder","6.2"
"Delaware","hsGrad","54.6"
"Delaware","Region","South"
"Florida","Illiteracy","1.3"
"Florida","Murder","10.7"
"Florida","hsGrad","52.6"
"Florida","Region","South"
"Georgia","Illiteracy","2"
"Georgia","Murder","13.9"
"Georgia","hsGrad","40.6"
"Georgia","Region","South"
"Hawaii","Illiteracy","1.9"
"Hawaii","Murder","6.2"
"Hawaii","hsGrad","61.9"
"Hawaii","Region","West"
"Idaho","Illiteracy","0.6"
"Idaho","Murder","5.3"
"Idaho","hsGrad","59.5"
"Idaho","Region","West"
"Illinois","Illiteracy","0.9"
"Illinois","Murder","10.3"
"Illinois","hsGrad","52.6"
"Illinois","Region","North Central"
"Indiana","Illiteracy","0.7"
"Indiana","Murder","7.1"
"Indiana","hsGrad","52.9"
"Indiana","Region","North Central"
"Iowa","Illiteracy","0.5"
"Iowa","Murder","2.3"
"Iowa","hsGrad","59"
"Iowa","Region","North Central"
"Kansas","Illiteracy","0.6"
"Kansas","Murder","4.5"
"Kansas","hsGrad","59.9"
"Kansas","Region","North Central"
"Kentucky","Illiteracy","1.6"
"Kentucky","Murder","10.6"
"Kentucky","hsGrad","38.5"
"Kentucky","Region","South"
"Louisiana","Illiteracy","2.8"
"Louisiana","Murder","13.2"
"Louisiana","hsGrad","42.2"
"Louisiana","Region","South"
"Maine","Illiteracy","0.7"
"Maine","Murder","2.7"
"Maine","hsGrad","54.7"
"Maine","Region","Northeast"
"Maryland","Illiteracy","0.9"
"Maryland","Murder","8.5"
"Maryland","hsGrad","52.3"
"Maryland","Region","South"
"Massachusetts","Illiteracy","1.1"
"Massachusetts","Murder","3.3"
"Massachusetts","hsGrad","58.5"
"Massachusetts","Region","Northeast"
"Michigan","Illiteracy","0.9"
"Michigan","Murder","11.1"
"Michigan","hsGrad","52.8"
"Michigan","Region","North Central"
"Minnesota","Illiteracy","0.6"
"Minnesota","Murder","2.3"
"Minnesota","hsGrad","57.6"
"Minnesota","Region","North Central"
"Mississippi","Illiteracy","2.4"
"Mississippi","Murder","12.5"
"Mississippi","hsGrad","41"
"Mississippi","Region","South"
"Missouri","Illiteracy","0.8"
"Missouri","Murder","9.3"
"Missouri","hsGrad","48.8"
"Missouri","Region","North Central"
"Montana","Illiteracy","0.6"
"Montana","Murder","5"
"Montana","hsGrad","59.2"
"Montana","Region","West"
"Nebraska","Illiteracy","0.6"
"Nebraska","Murder","2.9"
"Nebraska","hsGrad","59.3"
"Nebraska","Region","North Central"
"Nevada","Illiteracy","0.5"
