"State","variable","value"
"Alabama","Population",3615
"Alabama","Income",3624
"Alabama","Illiteracy",2.1
"Alabama","LifeExp",69.05
"Alabama","Murder",15.1
"Alabama","hsGrad",41.3
"Alabama","Frost",20
"Alabama","Area",50708
"Alaska","Population",365
"Alaska","Income",6315
"Alaska","Illiteracy",1.5
"Alaska","LifeExp",69.31
"Alaska","Murder",11.3
"Alaska","hsGrad",66.7
"Alaska","Frost",152
"Alaska","Area",566432
"Arizona","Population",2212
"Arizona","Income",4530
"Arizona","Illiteracy",1.8
"Arizona","LifeExp",70.55
"Arizona","Murder",7.8
"Arizona","hsGrad",58.1
"Arizona","Frost",15
"Arizona","Area",113417
"Arkansas","Population",2110
"Arkansas","Income",3378
"Arkansas","Illiteracy",1.9
"Arkansas","LifeExp",70.66
"Arkansas","Murder",10.1
"Arkansas","hsGrad",39.9
"Arkansas","Frost",65
"Arkansas","Area",51945
"California","Population",21198
"California","Income",5114
"California","Illiteracy",1.1
"California","LifeExp",71.71
"California","Murder",10.3
"California","hsGrad",62.6
"California","Frost",20
"California","Area",156361
"Colorado","Population",2541
"Colorado","Income",4884
"Colorado","Illiteracy",0.7
"Colorado","LifeExp",72.06
"Colorado","Murder",6.8
"Colorado","hsGrad",63.9
"Colorado","Frost",166
"Colorado","Area",103766
"Connecticut","Population",3100
"Connecticut","Income",5348
"Connecticut","Illiteracy",1.1
"Connecticut","LifeExp",72.48
"Connecticut","Murder",3.1
"Connecticut","hsGrad",56
"Connecticut","Frost",139
"Connecticut","Area",4862
"Delaware","Population",579
"Delaware","Income",4809
"Delaware","Illiteracy",0.9
"Delaware","LifeExp",70.06
"Delaware","Murder",6.2
"Delaware","hsGrad",54.6
"Delaware","Frost",103
"Delaware","Area",1982
"Florida","Population",8277
"Florida","Income",4815
"Florida","Illiteracy",1.3
"Florida","LifeExp",70.66
"Florida","Murder",10.7
"Florida","hsGrad",52.6
"Florida","Frost",11
"Florida","Area",54090
"Georgia","Population",4931
"Georgia","Income",4091
"Georgia","Illiteracy",2
"Georgia","LifeExp",68.54
"Georgia","Murder",13.9
"Georgia","hsGrad",40.6
"Georgia","Frost",60
"Georgia","Area",58073
"Hawaii","Population",868
"Hawaii","Income",4963
"Hawaii","Illiteracy",1.9
"Hawaii","LifeExp",73.6
"Hawaii","Murder",6.2
"Hawaii","hsGrad",61.9
"Hawaii","Frost",0
"Hawaii","Area",6425
"Idaho","Population",813
"Idaho","Income",4119
"Idaho","Illiteracy",0.6
"Idaho","LifeExp",71.87
"Idaho","Murder",5.3
"Idaho","hsGrad",59.5
"Idaho","Frost",126
"Idaho","Area",82677
"Illinois","Population",11197
"Illinois","Income",5107
"Illinois","Illiteracy",0.9
"Illinois","LifeExp",70.14
"Illinois","Murder",10.3
"Illinois","hsGrad",52.6
"Illinois","Frost",127
"Illinois","Area",55748
"Indiana","Population",5313
"Indiana","Income",4458
"Indiana","Illiteracy",0.7
"Indiana","LifeExp",70.88
"Indiana","Murder",7.1
"Indiana","hsGrad",52.9
"Indiana","Frost",122
"Indiana","Area",36097
"Iowa","Population",2861
"Iowa","Income",4628
"Iowa","Illiteracy",0.5
"Iowa","LifeExp",72.56
"Iowa","Murder",2.3
"Iowa","hsGrad",59
"Iowa","Frost",140
"Iowa","Area",55941
"Kansas","Population",2280
"Kansas","Income",4669
"Kansas","Illiteracy",0.6
"Kansas","LifeExp",72.58
"Kansas","Murder",4.5
"Kansas","hsGrad",59.9
"Kansas","Frost",114
"Kansas","Area",81787
"Kentucky","Population",3387
"Kentucky","Income",3712
"Kentucky","Illiteracy",1.6
"Kentucky","LifeExp",70.1
"Kentucky","Murder",10.6
"Kentucky","hsGrad",38.5
"Kentucky","Frost",95
"Kentucky","Area",39650
"Louisiana","Population",3806
"Louisiana","Income",3545
"Louisiana","Illiteracy",2.8
"Louisiana","LifeExp",68.76
"Louisiana","Murder",13.2
"Louisiana","hsGrad",42.2
"Louisiana","Frost",12
"Louisiana","Area",44930
"Maine","Population",1058
"Maine","Income",3694
"Maine","Illiteracy",0.7
"Maine","LifeExp",70.39
"Maine","Murder",2.7
"Maine","hsGrad",54.7
"Maine","Frost",161
"Maine","Area",30920
"Maryland","Population",4122
"Maryland","Income",5299
"Maryland","Illiteracy",0.9
"Maryland","LifeExp",70.22
"Maryland","Murder",8.5
"Maryland","hsGrad",52.3
"Maryland","Frost",101
"Maryland","Area",9891
"Massachusetts","Population",5814
"Massachusetts","Income",4755
"Massachusetts","Illiteracy",1.1
"Massachusetts","LifeExp",71.83
"Massachusetts","Murder",3.3
"Massachusetts","hsGrad",58.5
"Massachusetts","Frost",103
"Massachusetts","Area",7826
"Michigan","Population",9111
"Michigan","Income",4751
"Michigan","Illiteracy",0.9
"Michigan","LifeExp",70.63
"Michigan","Murder",11.1
"Michigan","hsGrad",52.8
"Michigan","Frost",125
"Michigan","Area",56817
"Minnesota","Population",3921
"Minnesota","Income",4675
"Minnesota","Illiteracy",0.6
"Minnesota","LifeExp",72.96
"Minnesota","Murder",2.3
"Minnesota","hsGrad",57.6
